source_keyword,related_keyword,popularity,competitiveness
golf,swing,44,68
golf,mini golf,49,72
golf,golf gps,5,85
golf,tag heuer,6,51
golf,18 birdies,65,79
golf,gopdf,5,97
golf,golf now,58,80
golf,golf battle,49,70
golf,golf dreams,52,90
golf,golf games,53,80
golf,fa golf,5,61
golf,the grint golf,50,NA
golf,golf sport,5,61
golf,golf clash,61,78
golf,wgt golf,51,43
golf,top golf,61,77
golf,golf game,30,94
golf,golf fix,8,55
golf,learn golf,5,52
golf,golf sports,5,62
golf,golfnow,5,87
golf,race golf,5,NA
golf,free%20golf%20apps,5,79
golf,golf%20shot%20gps,5,53
golf,golfing,5,66
