source_keyword,related_keyword,popularity,competitiveness
icebreaker,ice breaker,5,62
icebreaker,ice braker,5,48
icebreaker,icebreakers,5,52
icebreaker,ice breaker,5,40
icebreaker,icebreaker games icebreakers,5,40
icebreaker,questions icebreaker,5,40
icebreaker,icebreak,5,54
icebreaker,icebreaker questiond,5,68
icebreaker,icebreaker questions,5,78
icebreaker,ice breaker questions,5,71
icebreaker,icebreaker party,5,58
icebreaker,ice breaker convos,5,40
icebreaker,icebreaker game,5,55
icebreaker,icebreak questions,5,70
icebreaker,icebraker questions,NA,NA
icebreaker,ice breaker party,5,58
icebreaker,Icebreaker questions app,5,61
icebreaker,ice breakers,5,51
icebreaker,icebrakers,5,NA
icebreaker,converastion starters,5,54
icebreaker,icebraker,5,59
icebreaker,sice breaker,5,22
icebreaker,coversation starters,5,NA
icebreaker,question conversation game,5,40
icebreaker,deep questions game,5,57
