source_keyword,related_keyword,popularity,competitiveness
kayak,repost,5,100
kayak,kayaking,5,84
kayak,edreams,44,75
kayak,melody scanner,9,67
kayak,Usagi Shima,5,47
kayak,kaynak,5,49
kayak,kayak explore,5,59
kayak,kayaking finder,5,NA
kayak,kayak business,5,50
kayak,can i kayak,5,53
kayak,kayak session magazine,5,50
kayak,kayak launch,5,64
kayak,kayak app,5,76
kayak,paddleways,42,76
kayak,kayak flights hotels & cars,NA,NA
kayak,kayak kingdom,5,54
kayak,go paddling,34,78
kayak,paddle logger for watersports,5,40
kayak,kayaking guide,5,NA
kayak,kayak time,24,56
kayak,kayak flights,5,74
kayak,kayak routes,5,64
kayak,paddle conditions,5,56
kayak,boaters prep,5,42
kayak,canoe,15,66
