source_keyword,related_keyword,popularity,competitiveness
letterboxd,just watch,50,86
letterboxd,tv show tracker,9,70
letterboxd,kanopy,55,100
letterboxd,movie list,5,77
letterboxd,study tool,5,93
letterboxd,breeze mental health,5,58
letterboxd,letterdbox,5,66
letterboxd,letterbox,52,85
letterboxd,letter boxed,5,93
letterboxd,letter box,55,82
letterboxd,letterboxd alternative,5,57
letterboxd,later box,5,88
letterboxd,mailbox declutter,5,44
letterboxd,organize mailbox,5,91
letterboxd,organized mailbox,5,91
letterboxd,letterboxing,5,62
letterboxd,cleaner mailbox,5,45
letterboxd,declutter mailbox,5,43
letterboxd,mailbox organization,5,90
letterboxd,manage mailbox,5,40
letterboxd,yahoo mail,76,98
letterboxd,readdle mail,5,94
letterboxd,protonmail,61,97
letterboxd,youmail,5,95
letterboxd,cleanup mailbox,5,88
