source_keyword,related_keyword,popularity,competitiveness,total_results
meditation,breathe,7,94,
meditation,breath,9,97,
meditation,balance,43,60,
meditation,breathing,7,83,
meditation,anxiety,6,98,
meditation,relax,6,97,
meditation,headspace,57,95,
meditation,meditation free,6,88,
meditation,mindfulness,47,96,
meditation,free meditation apps,7,91,
meditation,meditation app,5,91,
meditation,breethe,5,89,
meditation,insight,48,77,
meditation,mindfulness coach,6,96,
meditation,7mind meditation achtsamkeit,13,40,
meditation,serenity,8,57,
meditation,chakra,5,58,
meditation,breathwork,6,80,
meditation,healthy minds,6,56,
meditation,waking up sam harris,5,47,
