source_keyword,related_keyword,popularity,competitiveness
motorcycle,traffic,49,96
motorcycle,traffic racer,50,74
motorcycle,traffic rider,53,65
motorcycle,bike race,49,90
motorcycle,highway rider,27,74
motorcycle,traffic jam,52,93
motorcycle,biker,7,59
motorcycle,motorbike,9,65
motorcycle,hill climb 2,19,82
motorcycle,scenic,9,72
motorcycle,motorrad,41,61
motorcycle,traffic run,9,67
motorcycle,motocross,44,69
motorcycle,Mx grau,28,47
motorcycle,traffic bike,5,69
motorcycle,Motor Cycle,5,73
motorcycle,motocycle,5,54
motorcycle,motorcycles,5,61
motorcycle,motorcycle builder,5,NA
motorcycle,motorcycle community,5,78
motorcycle,motorcycle clubs,5,59
motorcycle,motorcycle PP,5,94
motorcycle,motorcycle driver,5,56
motorcycle,motorcycle records,5,NA
motorcycle,motorcycle gpz,5,64
