source_keyword,related_keyword,popularity,competitiveness
sheet music,musescore,53,61
sheet music,forscore,50,80
sheet music,piascore,39,78
sheet music,sheet music maker,22,60
sheet music,piano sheet music,5,80
sheet music,sheet music scanner,7,61
sheet music,melody scanner,9,67
sheet music,read sheet music,5,48
sheet music,trumpet sheet music,5,51
sheet music,saxophone sheet music,5,50
karaoke,kareoke app free,30,79
karaoke,karaoke free,34,90
karaoke,meete,60,79
karaoke,singa,6,88
karaoke,karaoke songs,5,71
photo frames,photo frames free,19,73
photo frames,aura frames for photos,20,44
photo frames,photoframe,16,83
photo frames,frame photo creator,5,29
photo frames,fun photo frames,5,44
