source_keyword,related_keyword,popularity,competitiveness
chore chart,chores,32,77
chore chart,chores tracker,35,67
chore chart,chores and allowance,5,59
chore chart,chore tracker,5,74
moon phase,moon tracker,9,67
moon phase,moon calendar,9,71
moon phase,lunar calendar,12,69
moon phase,mondkalender,32,55
moon phase,moon app,5,59
moon phase,phases of moon,5,55
moon phase,moon phase app free,5,33
spirit,spirit box,53,62
spirit,spirit talker,48,74
spirit,spirit hunting,5,46
spirit,spirit finder,5,44
spirit,spirit talk,12,76
