source_keyword,related_keyword,popularity,competitiveness,total_results
plant care,picturethis,9,74,
plant care,picture insect,7,77,
plant care,free plant care app,9,68,
plant care,plant ai,6,85,
plant care,plants care,5,66,
plant care,plant care free,53,70,
plant care,houseplant care,5,88,
plant care,indoor plant care,5,90,
plant care,house plant,5,87,
plant care,plant care app,32,70,
plant care,succulent care,5,84,
plant care,plant care reminder,5,69,
plant care,Plant Care Assistant,5,44,
plant care,orchid care,5,76,
