source_keyword,related_keyword,popularity,competitiveness,total_results
prayer times,muslim pro,54,60,
prayer times,islam pro,7,71,
prayer times,athan pro,8,62,
prayer times,quran,60,69,
prayer times,islam,40,68,
prayer times,muslim,45,69,
prayer times,my prayers,5,53,
prayer times,qibla,44,69,
prayer times,islam 360,8,65,
prayer times,gebetszeiten,7,57,
prayer times,qibla finder,46,68,
prayer times,azkar,43,73,
prayer times,kibla,7,63,
prayer times,athkar,41,58,
prayer times,dhikr dua,8,45,
prayer times,vaktija,5,39,
prayer times,pray timer,5,52,
