source_keyword,related_keyword,popularity,competitiveness
mind map,xmind,42,47
mind map,mind maps,5,49
mind map,mind map free,5,40
mind map,mind mapping,5,56
mind map,mind map app,5,40
mind map,mind map maker,5,51
mind map,flowchart,5,56
mind map,concept map,5,52
mind map,visual mind map,5,—
kanban,kanban board,12,62
kanban,project management,7,87
kanban,meistertask,7,37
kanban,kanban app,5,59
kanban,kanban flow,5,45
kanban,kanban tool,5,47
anatomy,anatomy and physiology,49,77
anatomy,atlas,59,97
anatomy,medical,5,98
anatomy,medical terminology,5,80
anatomy,anatomie,5,78
