source_keyword,related_keyword,popularity,competitiveness,total_results
resume builder,cv creator,9,48,
resume builder,cv template,6,49,
resume builder,resumen,5,43,
resume builder,kickresume,19,63,
resume builder,resume builder,57,88,
resume builder,resume builder free,32,89,
resume builder,resume,50,100,
resume builder,free resume builder,5,57,
resume builder,resume maker builder,5,51,
resume builder,resume enhancer,5,40,
resume builder,resume maker,42,98,
resume builder,resume builder pro,5,61,
resume builder,create resume,5,66,
