source_keyword,related_keyword,popularity,competitiveness
mobility,mobility,53,58
mobility,mobilité,24,56
mobility,umo mobility,25,51
mobility,daily mobility,5,64
mobility,mobility coach,6,55
mobility,stretch,7,82
mobility,pliability,6,55
mobility,go wod,6,49
fall detection,fall detector,5,48
fall detection,fall prevention,5,53
fall detection,fall alert,5,51
fall detection,senior safety,5,50
fall detection,fall risk,5,49
fall detection,gait analysis,5,40
snore,snorelab,39,61
snore,sleep monitor,9,75
snore,sleep apnea,5,70
snore,sleep talking,5,65
snore,sleep talk recorder,5,73
snore,prime sleep recorder,5,66
snore,apnea,9,77
stretching,stretching,7,82
stretching,mobility,53,58
