source_keyword,related_keyword,popularity,competitiveness
shooting,action games,49,92
shooting,shooting games,63,84
shooting,action,48,96
shooting,free shooting games,28,80
shooting,shooter,51,96
shooting,shooting game,47,95
shooting,shooter games,52,90
shooting,shoot,35,100
shooting,champions,6,83
shooting,critical ops,49,89
shooting,hitman,54,92
shooting,gun simulator,51,61
shooting,russian roulette,5,35
shooting,shadowgun,20,68
shooting,sniper strike,5,78
shooting,sniper vs thieves,5,94
shooting,tacticool,9,60
shooting,hitman sniper,29,86
shooting,modern ops,7,96
shooting,shoter,11,81
shooting,paintball,9,60
shooting,strike,50,82
shooting,shell shockers,5,84
shooting,johnny trigger sniper,5,46
shooting,object hunt,5,63
