source_keyword,related_keyword,popularity,competitiveness
soccer,football,68,97
soccer,head ball,38,48
soccer,score,54,76
soccer,soccer kick,31,60
soccer,soccer apps,5,61
soccer,one football,42,76
soccer,calcio,61,68
soccer,futsal,9,56
soccer,soccrr,5,94
soccer,mini soccer star,55,94
soccer,soccer superstar,61,90
soccer,soccer games,55,85
soccer,soccerr,5,88
soccer,head soccer,48,71
soccer,soccer stars,54,82
soccer,woman soccer,5,60
soccer,soccer+,5,63
soccer,soccer champs,44,93
soccer,soccer sport,5,85
soccer,nova soccer,58,94
soccer,byga soccer,NA,NA
soccer,soccer life,5,55
soccer,Best Soccer,5,77
soccer,soccer game,50,88
soccer,soccer star,46,68
