source_keyword,related_keyword,popularity,competitiveness
tide,meditation,53,95
tide,headspace,58,93
tide,gezeiten,5,86
tide,mareas,8,72
tide,the tide,5,73
tide,tide graph,5,82
tide,high tide low tide,5,66
tide,tide guide,9,72
tide,my tide times,12,72
tide,tide near me,5,62
tide,tide schedule,5,65
tide,tide now,5,67
tide,low tides,5,71
tide,tide charts near me,5,68
tide,tide prediction,5,73
tide,low tide,5,73
tide,high tides,5,62
tide,spring tide,5,66
tide,tide widget,5,62
tide,tidal report,5,58
tide,slack tide,5,73
tide,low tide near me,5,59
tide,tidal schedule,5,63
tide,tide prediction app,5,59
tide,tide and current,5,66
