source_keyword,related_keyword,popularity,competitiveness
interval timer,timer,60,61
interval timer,interval timer,56,44
interval timer,tabata timer,47,61
interval timer,boxing timer,47,59
interval timer,workout timer,9,54
interval timer,timer app,7,47
interval timer,wod timer,9,59
interval timer,crossfit timer,6,35
interval timer,インターバルタイマー,40,42
interval timer,multitimer,9,53
interval timer,circuit timer,6,55
interval timer,seconds,8,76
interval timer,seconds pro,7,77
interval timer,interval timer free,5,44
golf gps,18 birdies,65,79
golf gps,golf range finder,30,74
golf gps,golf tracker,31,75
golf gps,golf app,35,78
golf gps,golf gps free,34,76
golf gps,swing,44,68
golf gps,hole 19,43,80
golf gps,trackman,8,62
golf gps,golfpad,17,80
