source_keyword,related_keyword,popularity,competitiveness,total_results
trading journal,health insurance,15,75,
trading journal,trading journal free,—,43,
trading journal,trade journal,5,48,
trading journal,trading journal app,5,49,
trading journal,trading log,5,48,
trading journal,stock trading journal,5,84,
trading journal,day trading journal,5,40,
trading journal,trader journal,5,83,
trading journal,swing trading journal,5,56,
trading journal,options trading journal,5,79,
trading journal,forex journal,5,46,
trading journal,ai trading journal,5,50,
