source_keyword,related_keyword,popularity,competitiveness
barcode,qr code reader,60,77
barcode,barcode scanner app free,37,49
barcode,qr code scanner,38,79
barcode,the product scanner,32,75
barcode,barcode scanner,55,70
barcode,qr code creator,9,49
barcode,qr reader,5,55
barcode,product scanner,5,94
password manager,keepass,36,58
password manager,keeper password manager,38,72
password manager,google password manager,51,93
password manager,nordpass password manager,7,61
password manager,norton password manager,9,74
password manager,free password manager,5,56
