keyword,popularity,competitiveness
hangman wordstwo,5,NA
hangman word guess,5,45
hnagman,5,NA
spelling hangman,5,NA
ngman,5,NA
hangman play offline,NA,42
juego ahorcado,5,40
wortraten,5,40
el ahorcado,10,49
ahorcado juego,5,64
forca,5,53
ahorcado gratis,5,34
play hang,5,80
classic words \,5,55
words classic,5,59
classic words 2,5,67
mute words,5,40
jogo da forca,5,51
ahorcado en español,5,NA
2 player games,66,94
two player games,53,91
two player game,60,92
2player games,62,92
classic word,5,82
google hangiuts,5,84
