source_keyword,related_keyword,popularity,competitiveness
volleyball,volleyball rotation planner,5,40
volleyball,beach volleyball,20,59
volleyball,volleyball clipboard,5,72
volleyball,volleyball coach,5,53
volleyball,volleyball drills,5,85
volleyball,volleyball board,5,83
volleyball,stream volleyball live,5,NA
volleyball,volleyball rotations,5,52
volleyball,volleyball coach app,5,NA
volleyball,volley practice planner,5,0
volleyball,volleyball legends,22,NA
volleyball,volleyball rotation,5,52
volleyball,volleyball score keeper,33,45
volleyball,volleyball stats,5,NA
volleyball,volleyball tactic,5,33
volleyball,game changer volleyball,5,84
volleyball,volleyball scorebook,NA,NA
volleyball,volley,5,69
volleyball,volleyball playmaker,5,2
volleyball,volleybol,5,NA
volleyball,volleyball counter,NA,NA
volleyball,volleyball score,5,57
volleyball,volleyball tatic board,5,26
volleyball,colleyball,5,61
volleyball,volleyball%20score%20keeper,5,54
