source_keyword,related_keyword,popularity,competitiveness,total_results
walking app,walk tracker,5,90,
walking app,pedometer,58,75,
walking app,walking,38,98,
walking app,walking tracker,36,78,
walking app,walking tracker free,55,89,
walking app,pacer,53,96,
walking app,step counter,60,72,
walking app,steps,56,75,
walking app,walkr,9,54,
walking app,walking app free,48,92,
walking app,walk fit,9,70,
walking app,fantasy hike,5,50,
walking app,steps counter for walking,41,68,
walking app,indoor walking,5,77,
