category,app,developer,total_downloads,period_downloads,change
Photography,Google Photos,Google LLC,14302.8M,172.3M,1.2%
Photography,Gallery,Google LLC,1839.1M,33.2M,1.8%
Photography,Video Editor & Maker - InShot,InShot,939.2M,9.3M,1.0%
Photography,Picsart AI Photo Editor,PicsArt,1424.9M,7.3M,0.5%
Photography,Remini - AI Photo Enhancer,Bending Spoons,607.2M,6.8M,1.1%
Photography,AI Art Magic - Photo Generator,JOYBOY STAR,16.5M,3.6M,21.8%
Photography,Lightroom,Adobe,463.7M,3.2M,0.7%
Photography,Hypic - Photo Editor & AI Art,Bytedance,116.5M,3.1M,2.7%
Photography,Hailuo AI: Image&Video Maker,MiniMax AI,21.5M,2.3M,10.8%
Photography,UpFoto - AI Photo Enhancer,AI Photo Team,155.3M,2.2M,1.4%
Photography,Digital Camera HD - 4K Camera,BUSSID STUDIO,4.2M,2.0M,46.8%
Photography,AI Photo Enhancer: Gen Art,ProLock,8.3M,1.8M,21.9%
Photography,AI Face Aging - Photo Editor,Willson Studio,3.1M,1.6M,50.9%
Photography,Collage Maker,Photo Editor,244.0M,1.6M,0.6%
Photography,AI Photo Studio: Editor Pro,ZANKHANA,9.3M,1.5M,15.7%
Photography,Refoto : AI Photo Studio,mAst App,16.3M,1.4M,8.6%
Photography,Photoroom: AI Photo Editor,Photoroom,177.5M,1.4M,0.8%
Photography,BeautyPlus-Selfie,PiXOCIAL,505.5M,1.3M,0.3%
Photography,PixVerse: AI Video Generator,PixVerse,73.9M,1.2M,1.6%
Health & Fitness,Health Connect,Google LLC,916.0M,18.3M,2.0%
Health & Fitness,Origin Health,vivo,103.7M,13.6M,13.1%
Health & Fitness,Google Health (Fitbit),Google LLC,279.0M,10.3M,3.7%
Health & Fitness,Samsung Health,Samsung,2262.8M,9.5M,0.4%
Health & Fitness,Google Fit,Google LLC,360.5M,4.2M,1.2%
Health & Fitness,Strava,Strava,129.2M,3.1M,2.4%
Health & Fitness,Sweatcoin,Sweatco,158.1M,2.0M,1.3%
Health & Fitness,Flo Ovulation,Flo Health,202.0M,1.9M,0.9%
Health & Fitness,Home Workout - No Equipment,Leap Fitness,298.7M,1.7M,0.6%
Health & Fitness,Weight Loss for Women: Workout,EZ Health,47.3M,1.4M,2.9%
Health & Fitness,Period Calendar,Simple Design,223.2M,1.1M,0.5%
Health & Fitness,Pilates Workout at Home,EZ Health,23.2M,1.1M,4.6%
Health & Fitness,PulseSense - Health Tracker,80UGame,8.6M,1.0M,12.0%
Health & Fitness,Blood Pressure BP,Finflow Studios,1.3M,808.3K,64.6%
Health & Fitness,Traya: Hair Loss Solutions,Traya Health,14.9M,778.3K,5.2%
Health & Fitness,Blood Pressure App,P & L Studio,31.4M,749.8K,2.4%
Health & Fitness,AllTrails,AllTrails,50.3M,747.1K,1.5%
Education,Duolingo,Duolingo,946.4M,14.4M,1.5%
Education,Seekho: Short Learning Videos,Seekho App,179.1M,3.9M,2.2%
Education,Learn English Spanish: Learna,Deep Flow Apps,45.0M,3.8M,8.5%
Education,Linguza: AI English Tutor,NXL AI Solutions,3.3M,2.9M,89.8%
Education,Fluzy: Learn Language with AI,Mall Collections,5.7M,2.4M,42.6%
Education,Google Classroom,Google LLC,400.0M,2.2M,0.5%
Education,Bible App for Kids,Life.Church,132.4M,1.9M,1.5%
Education,Supernova AI: Spoken English,24/7 Personal AI Tutor,20.2M,1.8M,8.9%
Education,Simply Draw: Learn to Draw,Simply Ltd,9.5M,1.5M,15.8%
Education,IQ Masters - Brain Games,Deep Flow Apps,21.8M,1.4M,6.5%
Education,PictureThis - Plant Identifier,Glority Global,81.0M,1.4M,1.7%
Education,Minecraft Education,Mojang,57.6M,1.2M,2.1%
Education,Airlearn - Language Learning,Airlearn Tech,5.4M,1.2M,22.1%
Education,Stimuler AI: English Fluency,Stimuler,10.6M,1.1M,9.9%
Education,Lingokids: Games & Shows,Lingokids,77.2M,996.9K,1.3%
