keyword,ranked,exact_title,avg_score,min_score,fresh_updated,top_titles
"bedtime stories","10","7","4.54","3.94","0","Little Stories: Bedtime Books | Bedtime Stories: Story Time AI | Tap to Sleep: Bedtime Stories | Readmio: Bedtime Stories Aloud | Bedtime Stories for Kids | FairyTales+ Bedtime Stories | Bedtime Stories for Kids Sleep | Slumber－Stories to Fall Asleep | Storybook: Calm Bedtime, Sleep | Bedtime Stories and Fables"
"bedtime stories for kids","10","2","4.63","4.19","0","Bedtime Stories for Kids | Little Stories: Bedtime Books | Readmio: Bedtime Stories Aloud | Bedtime audio stories for kids | Bedtime Stories and Fables | Bedtime Stories for Kids Sleep | Bedtime Stories: Story Time AI | Short Stories for Kids to Read | Fairy Tales ~ Children’s Books | Tap to Sleep: Bedtime Stories"
"kids story","10","0","4.47","3.91","0","Little Stories: Bedtime Books | Short Stories for Kids to Read | Fairy Tales ~ Children’s Books | Kidly – Stories for Kids | Epic: Kids' Books & Reading | Bedtime Stories: Story Time AI | Calm Storytime: Truth & Tales | Readmio: Bedtime Stories Aloud | Bedtime Stories for Kids Sleep | Tap to Sleep: Bedtime Stories"
"kids stories","10","2","4.39","3.67","0","Little Stories: Bedtime Books | Short Stories for Kids to Read | Fairy Tales ~ Children’s Books | Kidly – Stories for Kids | Kids Stories by Story Whisper | Tap to Sleep: Bedtime Stories | Readmio: Bedtime Stories Aloud | Bedtime Stories: Story Time AI | Super Stories: Bedtime Stories | Dreamland: Create Kids Stories"
"children stories","10","0","4.36","3.45","0","Little Stories: Bedtime Books | Fairy Tales ~ Children’s Books | Short Stories for Kids to Read | StorySelf: kids loving story | Kidly – Stories for Kids | Readmio: Bedtime Stories Aloud | Epic: Kids' Books & Reading | Bedtime Stories: Story Time AI | Bedtime Stories for Kids Sleep | Tap to Sleep: Bedtime Stories"
"story for kids","10","0","4.47","3.91","0","Short Stories for Kids to Read | Little Stories: Bedtime Books | Fairy Tales ~ Children’s Books | Kidly – Stories for Kids | Calm Storytime: Truth & Tales | Bedtime Stories: Story Time AI | Epic: Kids' Books & Reading | Readmio: Bedtime Stories Aloud | Bedtime Stories for Kids Sleep | Tap to Sleep: Bedtime Stories"
"short stories for kids","10","1","4.40","3.45","0","Short Stories for Kids to Read | Fairy Tales ~ Children’s Books | Little Stories: Bedtime Books | StorySelf: kids loving story | Kidly – Stories for Kids | Readmio: Bedtime Stories Aloud | Bedtime Stories for Kids Sleep | Bedtime Stories: Story Time AI | Tap to Sleep: Bedtime Stories | Bedtime Stories for Kids Books"
"ai story generator for kids","10","0","4.25","3.77","0","AI Story Generator Novel Maker | Fable: The AI Story Generator | AI Story Generator - Story AI | AI Book Writer Generator | AI Story Generator - Story AI | AI Story Generator - Story AI | AI Story Generator | Story Generator: StoryNow AI | TaleCraft AI: Story Maker | Okudu AI - Create Stories"
"ai bedtime story","10","0","4.61","4.49","0","Bedtime Stories: Story Time AI | Magic Weave AI bedtime stories | AI Bedtime Stories - StoryBean | Storylix - AI Bedtime Stories | FairyTaler Bedtime AI Stories | AI Bedtime Stories | AI Storybook: Bedtime Stories | AI Bedtime & Sleep Stories | TaleTown: AI Bedtime Stories | Storybook AI: Kids' Bedtime"
"story generator kids","10","0","4.12","2.82","0","AI Story Generator Novel Maker | Fable - Kids' Story Creator | Dreamland: Create Kids Stories | Storytime AI: Story Generator | AI Story Generator - Story AI | Fable: The AI Story Generator | Kids Story Maker: AI Magic | AI Story Generator - Story AI | Story Generator: StoryNow AI | Oscar Stories for Children"
