keyword,exact_title,avg_score,min_score,verdict
rpg maker,0,3.62,2.59,OPPORTUNITE - creation jeux RPG
block coding,1,3.71,2.87,OPPORTUNITE - coding kids
visual novel games,0,3.90,1.67,OPPORTUNITE - narrative interactive
game builder,0,3.94,3.26,OPPORTUNITE - creation jeux no-code
game engine,1,4.05,3.39,OPPORTUNITE - AI game engine
game maker,8,3.74,2.71,OPPORTUNITE - AI game maker emerge
scratch game,0,4.18,3.53,OPPORTUNITE - scratch/creation
coding game,3,4.25,3.46,OPPORTUNITE - coding kids
tycoon game,2,4.47,3.89,SATURE (tycoons leaders)
idle rpg,7,4.34,3.74,SATURE
paint by number,4,4.58,4.26,SATURE
escape room,4,4.62,4.05,SATURE
hidden object,9,4.60,3.64,SATURE
word games for adults,0,4.67,4.09,SATURE (page1 excellente)
dress up,6,4.12,3.75,SATURE
virtual pet,4,4.31,3.85,SATURE
romance game,0,4.25,3.02,MOYEN (visual novel angle)
mystery game,2,4.54,4.31,SATURE
trivia game,2,4.55,4.35,SATURE
