sous_niche,exact,avg,min,verdict
autism story,0,3.62,2.00,PEPITE FORTE - histoires autisme, croise neuro+stories
safety story kids,0,3.61,2.29,PEPITE - securite enfants par histoires
photo story kids,0,3.65,2.82,PEPITE - stories photos personnalisees
dinosaur story,0,3.90,3.12,PEPITE - dinosaures
touch and feel story,0,3.94,2.82,PEPITE - sensoriel
alphabet story,0,3.94,2.86,PEPITE - alphabet apprentissage
yoga story kids,0,4.10,2.22,PEPITE - yoga enfants
story generator kids,0,4.12,2.82,PEPITE - generation IA stories
sleep story for kids,0,4.18,2.59,PEPITE - sleep stories
arabic story kids,0,4.18,2.62,PEPITE - multi-langue
ai story generator for kids,0,4.25,3.77,MOVEN - IA stories
animated stories for kids,0,4.25,2.88,MOVEN - animation
bedtime stories,NA,4.5+,3.9,SATURE (Moshi/Pinkfong)
kids story,NA,4.47,3.91,SATURE
fairy tales,NA,4.41,3.69,SATURE
