keyword,ranked,exact_title,avg_score,min_score,fresh_updated,top_titles
"tower defense games","10","0","4.43","4.04","0","2112TD: Tower Defense Survival | Kingdom Rush Tower Defense TD | Grow Castle - Tower Defense | Raid Rush: Tower Defense TD | Bloons TD 6 | Kingdom Rush Frontiers TD | Tower Defense Legend 5 Pro | Arcane Arena: Tower Defense TD | Empire Warrior: Tower Defense | Rush Royale: Tower Defense TD"
"idle rpg","10","7","4.34","3.74","0","Idle Dungeon Raiders - AFK RPG | Hunter Raid: Idle RPG Games | Twilight Chronicle: Idle RPG | Shadow Knights : Idle RPG | Headless Knight: Idle RPG | AFK Dungeon : Idle Action RPG | MapleStory : Idle RPG | Loop Dungeon: Idle RPG | Simplest RPG — AFK Idle Game | Evitania Online: Idle RPG"
"visual novel","10","0","4.11","1.67","0","The Letter - Horror Novel Game | The NOexistenceN of you AND me | Bad End Theater | Seedsow Lullaby | ERROR143 | Lovebrush Chronicles | Phantom of Opera | Story Games | Pechka | Adventure Story Game | Love and Deepspace | PARQUET"
"visual novel games","10","0","3.90","1.67","0","The Letter - Horror Novel Game | Seedsow Lullaby | Amnesia: Memories | Harry Potter: Hogwarts Mystery | Phantom of Opera | Story Games | Episode - Choose Your Story | Pechka | Adventure Story Game | Love and Deepspace | AI Dungeon: RPG & Story Maker | Chapters: Interactive Stories"
"tycoon game","10","2","4.47","3.89","0","Idle Miner Tycoon: Gold Games | Game Dev Tycoon | RollerCoaster Tycoon® Classic | RichLife: Investor tycoon game | My Perfect Hotel | Idle Bank Tycoon: Money Empire | Idle Theme Park Tycoon | Police Chief | Idle Museum Tycoon: Art Empire | Used Car Tycoon Game"
"tycoon games","10","2","4.36","3.89","0","Game Dev Tycoon | Office Cat: Idle Tycoon Games | Idle Miner Tycoon: Gold Games | RollerCoaster Tycoon® Classic | Township | Sim Hotel Tycoon: Tycoon Games | Holyday City Tycoon: Idle | Idle Lumber Empire: Tycoon Inc | Rail Master Tycoon: Idle Train | Egg, Inc."
"simulation games","10","0","4.47","4.10","0","Roblox | SimCity BuildIt | Fishing Clash: Sport Simulator | Idle Miner Tycoon: Gold Games | Idle Guy: Life Simulator games | BitLife - Life Simulator | Dragon City: Mobile Adventure | House Flipper: Home Design | Toca Boca World | Bid Wars 2: Auction Simulator"
"word games for adults","10","0","4.67","4.09","0","Wordscapes: Word puzzle game | Zen Word® - Relax Puzzle Game | Word Connect | Words With Friends Word Game | Scrabble® GO – Fun with Words! | Word Spells: Game for Adults | Words of Wonders: Crossword | Wordzee! - Puzzle Word Game | Bible Word Puzzle - Word Games | Word Search Explorer"
"sudoku","10","10","4.72","4.41","0","Sudoku - Classic Sudoku Puzzle | Sudoku Master Premium: Offline | Sudoku.com - Sudoku Puzzle | Sudoku - Classic Sudoku Puzzle | Sudoku Game - Daily Puzzles | Sudoku - The Clean One | Sudoku Ultimate Offline puzzle | Sudoku: Number Match Game | Sudoku without ads | Sudoku - Classic Sudoku Game"
"solitaire","10","10","4.51","3.63","0","Solitaire - Classic Card Games | Vita Solitaire for Seniors | Solitaire Wearable | Solitaire Associations Journey | Solitaire Grand Harvest | Microsoft Solitaire Collection | Solitaire.com - Classic Cards | Candy Crush Solitaire | Solitaire - Classic Card Games | Disney Solitaire"
"mahjong","10","10","4.77","4.42","0","Vita Mahjong | Mahjong Blast | Mahjong Club - Solitaire Game | Mahjong (Full) | Mahjong 3 (Full) | Vigor Mahjong | Mahjong City Tours: Tile Match | Emperor of Mahjong Tile Match | Mahjong Master: Daily Match | Daily Mahjong Match"
