keyword,ranked,exact_title,avg_score,min_score,fresh_updated,top_titles
"bible study","10","4","4.54","3.07","0","Logos Bible | Bible Study - Manna | YouVersion Bible App + Audio | Bible App by Olive Tree | BibleProject | Hebrew Bible Study Translation | The MacArthur Study Bible | Bible Chat - Holy Bible Study | Bible Offline-KJV Holy Bible | WordGo: The Bible Study App"
"daily bible","10","6","4.80","4.65","0","YouVersion Bible App + Audio | Daily Bible: Holy Bible KJV | Bible-Daily Bible Verse | Daily Bible - KJV Holy Bible | King James Bible - Verse+Audio | Daily Bible - Verse+Audio | Simple Bible Daily Verse Alarm | PrayGo -Daily Bible Meditation | Holy: Daily Bible Verses | Our Daily Bread"
"bible reading plan","10","4","4.53","4.08","0","Bible Reading Plans -Study KJV | YouVersion Bible App + Audio | My Bible Tracker | One Year Bible Plan | Bible Reading Schedule | Sola – Bible reading plans | Bible Reading Plans - Explore | Bible Planner | Bible Reading Plan | Personal Bible Trainer"
"quran audio","10","2","4.66","4.13","0","Quran Audio Player: Quranify | MP3 Quran القرآن الكريم | Shuraim Full Quran Offline MP3 | Quran Player Audio Offline | Al Quran (Tafsir & by Word) | Quran Majeed – القران الكريم | The Clear Quran Audiobook | Quran for Android | Audio Quran Mp3 Offline/Online | Dr. Misbah Sani Full Quran"
"quran recitation","10","1","4.54","4.05","0","Mishary Rashid Full Quran MP3 | Tarteel: AI Quran Memorization | Quran Majeed – القران الكريم | Quran Recitation | The Clear Quran Audiobook | The Clear Quran | Al Quran (Tafsir & by Word) | Muslim Pro: Quran Athan Prayer | Quran for Android | Al QURAN - القرآن الكريم"
"islamic calendar","10","6","4.48","4.09","0","Islamic Calendar & Prayer Time | Hijri Calendar - Islamic Dates | Hijri Islamic Calendar | Hijri Islamic Calendar 2026 | Muslim Pro: Quran Athan Prayer | Hijri Calendar & Prayer Times | Islamic Calendar - Hijri Dates | Jamaat Islamic Calendar | Islamic Calendar & Prayer Time | Prayer Times - Qibla & Namaz"
"prayer times","10","8","4.54","3.88","0","Prayer Times - Qibla & Namaz | Prayer Times and Qibla | Prayer Times | Prayer Times - Qibla & Salah | Muslim Pro: Quran Athan Prayer | Prayer Now : Azan Prayer Times | Salaat First: Prayer Times | Pillars: Prayer Times & Qibla | صلاتك Salatuk (Prayer time) | Prayer Times"
"ramadan tracker","10","1","4.23","2.20","0","Muslim Tracker: Pray & Fasting | Ramadan Tracker | Ramadan & Quran Tracker | Niya: Muslim prayer tracker | Muslim Fasting Sunnah Alarm | Ramadan Calendar 2027 - Iftar | Ramadan 2026 | Everyday Muslim - Pray tracker | Ramadan Calendar | Ramadan Times 2026, Quran"
"christian meditation","10","3","4.53","3.97","0","BeStill - Christian Meditation | Reflect: Christian Mindfulness | Abide: Bible Meditation Prayer | Soultime Christian Meditation  | Gracify - Christian Meditation | Soulspace: Pray Bible Journal | Hallow: Prayer & Meditation | PrayGo -Daily Bible Meditation | Bible Meditation -Pray & Study | Insight Timer - Meditation App"
"devotional","10","7","4.65","3.79","0","Our Daily Bread | Glorify: Devotional & Prayer | Daily Devotional | Daily Devotional Readings | Jesus Calling Daily Devotional | Today in the Word Devotional | YouDevotion Daily Devotionals | FaithTime: Daily Devotional | Lectio 365: Daily Bible Prayer | Every Day with Jesus"
"hindu app","10","2","4.38","3.65","0","The Hindu ePaper: eNewspaper | The Hindu: India & World News | The Hindu Businessline News | Frontline (The Hindu Group) | The Hindu BusinessLine ePaper | Bhagavan: Hindu Daily Practice | Dharmayana - Daily Hindu App | Vocab24: Hindu App & Editorial | Hindu Editorial Vocab:UPSC,SSC | Vedapath: Hindu Scriptures"
"buddhist meditation","10","1","4.79","4.48","0","Buddha Wisdom - Buddhism Guide | Plum Village: Mindfulness | Modern Buddhism | BuddhaUR: Buddhist Meditation | Bodhi: Learn Buddhism | Insight Timer - Meditation App | Calm - Sleep, Meditate, Relax | Serenity: Guided Meditation | Vajrayana Online | Balance: Meditation & Sleep"
"stoicism","10","1","4.51","4.21","0","Daily Stoic Meditation: Stoa | stoic. journal & mental health | Meditations: Daily Stoic | Daily Stoic: Quotes & Wisdom | The Stoic Handbook – Good life | Stoic Journal & Mindset: Mori | Daily Stoic Wisdom Quotes | Stoic Journal AI: Stoicism | StoicMentor | mmmarcus: a stoic mindset"
"tai chi","10","10","4.46","2.71","0","Tai Chi for Beginners Seniors | Tai Chi Workout at Home | Tai Chi for Beginners at Home | Tai Chi Walking & Chair Yoga | Tai Chi Walking App | Tai Chi For Beginners - Qigong | Tai Chi for Beginners Daily | Tai Chi Walking for Beginners | Tai Chi Meditation & Breath | Tai Chi Walking For Seniors"
"qigong","10","9","4.24","3.64","0","Tai Chi For Beginners - Qigong | Onenergy Qigong and Meditation | Qigong for Vitality | The House of Qigong | Meridian Qigong Exercises | Qi Gong Workout with Tai Chi | Shaolin Crane Qigong | Qigong Breathing Video Lesson | Qigong Meditation Master Yang | Qigong Flow with Marisa"
"ayurveda","10","10","3.96","2.79","0","The Ayurveda Experience | AyuRythm: Ayurveda, Yoga, Diet | The Ayurveda Experience India | The Ayurveda Experience Italy | Ayurveda AI | Ayurveda: Dosha & Diet | Pratyaksh Ayurveda – PG & BAMS | Ayurveda AI: Natural Remedies | Ayurveda Map | Amrutam Ayurveda Wellness App"
"homeopathy","10","8","4.35","3.91","0","Homeopathy at Home | DigiHomeo » AI Homeopathy App | Homeopathy Doctor and Remedies | HomeoRemedy: Homeopathy Guide | Homeopathic Materia Medica AI | Schwabe India - Homeopathy | Healio Homeopathy | Simixa-Homeopathy AI Assistant | Homeopathic Quick Reference | Brahm Homeopathy | Dr Pradeep"
